نام کالا,نماد,تالار,تولید کننده,نوع قرارداد,قیمت پایانی میانگین موزون,ارزش معامله (هزارریال),قیمت پایانی,پایین ترین,بالاترین,قیمت پایه عرضه,حجم عرضه,تقاضا,حجم قرارداد,واحد,تاریخ معامله,تاریخ تحویل,مکان تحویل,عرضه کننده,تاریخ قیمت تسویه,کارگزار,نحوه عرضه,روش خرید,نوع بسته بندی,نوع تسویه,نوع ارز,کد عرضه
میلگرد طول کوتاه 32تا22-A3,BIMC-HREEEEA3BN-00,تالار صنعتی,مجتمع فولاد صنعت بناب,سلف,,0,,,,"265,207",528,0,0,تن,1403/08/23,1403/09/22,انبار کارخانه,مجتمع فولاد صنعت بناب,,توسعه سهند,عمده,عادی,شاخه,نقدی,ریال,867676
میلگرد طول کوتاه 14تا20-A3,BIMC-MREEEEA3BN-00,تالار صنعتی,مجتمع فولاد صنعت بناب,سلف,,0,,,,"265,207","1,232",0,0,تن,1403/08/23,1403/09/22,انبار کارخانه,مجتمع فولاد صنعت بناب,,توسعه سهند,عمده,عادی,شاخه,نقدی,ریال,867681
میلگرد 22تا32-A3,BIMC-HREEEEA3B-00,تالار صنعتی,مجتمع فولاد صنعت بناب,سلف,,0,,,,"273,409","3,784",0,0,تن,1403/08/23,1403/09/22,انبار کارخانه,مجتمع فولاد صنعت بناب,,توسعه سهند,عمده,عادی,شاخه,نقدی,ریال,867687
میلگرد 22تا32-A3,BIMC-HREEEEA3B-00,تالار صنعتی,مجتمع فولاد صنعت بناب,نقدی,,0,,,,"273,409","1,518",0,0,تن,1403/08/23,1403/09/03,انبار کارخانه,مجتمع فولاد صنعت بناب,,توسعه سهند,عمده,عادی,شاخه,نقدی,ریال,867688
میلگرد 14تا20-A3,BIMC-MREEEEA3B-00,تالار صنعتی,مجتمع فولاد صنعت بناب,نقدی,,0,,,,"273,409","3,498",0,0,تن,1403/08/23,1403/09/03,انبار کارخانه,مجتمع فولاد صنعت بناب,,توسعه سهند,عمده,عادی,شاخه,نقدی,ریال,867695
میلگرد 14تا20-A3,BIMC-MREEEEA3B-00,تالار صنعتی,مجتمع فولاد صنعت بناب,سلف,,0,,,,"273,409","8,822",0,0,تن,1403/08/23,1403/09/22,انبار کارخانه,مجتمع فولاد صنعت بناب,,توسعه سهند,عمده,عادی,شاخه,نقدی,ریال,867696
تیرآهن 14,BIMC-MBENN03E-00,تالار صنعتی,مجتمع فولاد صنعت بناب,سلف,,0,,,,"280,480","1,008",0,0,تن,1403/08/23,1403/09/22,انبار کارخانه,مجتمع فولاد صنعت بناب,,توسعه سهند,عمده,عادی,شاخه,نقدی,ریال,867699
سیمان پرتلند نوع 5 رده 42/5-کیسه50,TCC-PCT5G42.5-L50-00,تالار سیمان,سیمان تهران,نقدی (مچینگ),"13,401","22,781,700","13,401","13,401","13,401","13,401",0,"1,700","1,700",تن,1403/08/20,1403/08/19,انبار کارخانه,سیمان تهران,,بورس بهگزین,عمده,عادی,کیسه,نقدی,ریال,883797
سیمان پرتلند نوع 5 رده 42/5-کیسه50,KECE-PCT5G42.5-L50-00,تالار سیمان,سیمان کرمان,نقدی (مچینگ),"14,621","1,096,575","14,621","14,621","14,621","14,621",0,75,75,تن,1403/08/20,1403/08/22,انبار کارخانه,گروه صنایع سیمان کرمان,,بانک ملی,عمده,عادی,کیسه,نقدی,ریال,884049
سیمان پرتلند نوع 5 رده 22/5-کیسه50,DCCO-PCT5G22.5-L50-00,تالار سیمان,سیمان دورود,سلف (مچینگ),"13,274","1,327,400","13,274","13,274","13,274","13,274",0,100,100,تن,1403/08/20,1403/09/13,انبار کارخانه,سیمان دورود,,صبا تأمین,عمده,عادی,کیسه,نقدی / اعتباری,ریال,884360
سیمان پرتلند نوع 5 رده 32/5-کیسه50,GHCO-PCT5G32.5-L50-00,تالار سیمان,سیمان قائن,نقدی (مچینگ),"10,854","325,620","10,854","10,854","10,854","10,854",0,30,30,تن,1403/08/20,1403/08/19,انبار کارخانه,سیمان قائن,,صبا تأمین,عمده,عادی,کیسه,نقدی,ریال,884385
سیمان پرتلند نوع 1 رده 42/5-کیسه50,WCO-PCT1G42.5-L50-00,تالار سیمان,سیمان غرب,نقدی (مچینگ),"12,965","4,537,750","12,965","12,965","12,965","12,965",0,350,350,تن,1403/08/20,1403/08/19,انبار کارخانه,صنایع سیمان غرب,,صبا تأمین,عمده,عادی,کیسه,نقدی,ریال,884391
سیمان پرتلند نوع 5 رده 42/5-فله,WCO-PCT5G42.5-B-00,تالار سیمان,سیمان غرب,نقدی (مچینگ),"11,132","2,226,400","11,132","11,132","11,132","11,132",0,200,200,تن,1403/08/20,1403/08/19,انبار کارخانه,صنایع سیمان غرب,,صبا تأمین,عمده,عادی,فله,نقدی,ریال,884392
سیمان پوزولانی ویژه/کیسه50,KCC-CEMENTSP-50L-00,تالار سیمان,سیمان کردستان,نقدی (مچینگ),"13,142","1,314,200","13,142","13,142","13,142","13,142",0,100,100,تن,1403/08/20,1403/08/20,انبار کارخانه,سیمان کردستان,,آرمون بورس,عمده,عادی,کیسه,نقدی / اعتباری,ریال,884822
سیمان مرکب,KCC-CEMENTPMB-00,تالار سیمان,سیمان کردستان,نقدی (مچینگ),"11,988","4,795,200","11,988","11,988","11,988","11,988",0,400,400,تن,1403/08/20,1403/08/20,انبار کارخانه,سیمان کردستان,,آرمون بورس,عمده,عادی,فله,نقدی / اعتباری,ریال,884825
سیمان سفید/کیسه20,KECE-CEMENTW-20L-00,تالار سیمان,سیمان کرمان,نقدی (مچینگ),"31,730","2,379,750","31,730","31,730","31,730","31,730",0,75,75,تن,1403/08/20,1403/08/23,انبار کارخانه,گروه صنایع سیمان کرمان,,بانک ملی,عمده,عادی,کیسه,نقدی,ریال,884887
سیمان سفید/کیسه20,KECE-CEMENTW-20L-00,تالار سیمان,سیمان کرمان,نقدی (مچینگ),"31,730","793,250","31,730","31,730","31,730","31,730",0,25,25,تن,1403/08/21,1403/08/23,انبار کارخانه,گروه صنایع سیمان کرمان,,بانک ملی,عمده,عادی,کیسه,نقدی,ریال,884887
سیمان مرکب/کیسه50,ACC-CEMENTPM-50L-00,تالار سیمان,سیمان آبیک,نقدی (مچینگ),"13,806","2,070,900","13,806","13,806","13,806","13,806",0,150,150,تن,1403/08/20,1403/08/20,انبار کارخانه,سیمان آبیک,,صبا تأمین,عمده,عادی,کیسه,نقدی,ریال,885057
سیمان پوزولانی ویژه/کیسه50,SACE-CEMENTSP-50L-00,تالار سیمان,سیمان ساوه,نقدی (مچینگ),"13,726","1,921,640","13,726","13,726","13,726","13,726",0,140,140,تن,1403/08/20,1403/08/20,انبار کارخانه,سیمان ساوه,,صبا تأمین,عمده,عادی,کیسه,نقدی,ریال,885082
سیمان مرکب/کیسه50,SCC-CEMENTPM-50L-00,تالار سیمان,سیمان صوفیان,نقدی (مچینگ),"14,688","39,510,720","14,688","14,688","14,688","14,688",0,"2,690","2,690",تن,1403/08/20,1403/08/20,انبار کارخانه,کارخانجات سیمان صوفیان,,صبا تأمین,عمده,عادی,کیسه,نقدی,ریال,885088
سیمان سفید/کیسه40,SACE-CEMENTW-40L-00,تالار سیمان,سیمان ساوه,نقدی (مچینگ),"33,020","1,651,000","33,020","33,020","33,020","33,020",0,50,50,تن,1403/08/21,1403/08/20,انبار کارخانه,سیمان ساوه,,صبا تأمین,عمده,عادی,کیسه,نقدی,ریال,885105
پلی استایرن معمولی MP08,MPG-PSGPMP08L-00,تالار پتروشیمی,محب پلیمر قم,نقدی,"638,720","118,163,200","638,720","638,720","638,720","638,720",230,240,185,تن,1403/08/20,1403/08/23,انبار کارخانه,پتروشیمی محب پلیمر قم,,سهام بارز,عمده,عادی,کیسه,نقدی / اعتباری,ریال,886347
پلی استایرن معمولی MP08,MPG-PSGPMP08L-00,تالار پتروشیمی,محب پلیمر قم,نقدی (مچینگ),"638,720","28,742,400","638,720","638,720","638,720","638,720",0,45,45,تن,1403/08/20,1403/08/23,انبار کارخانه,پتروشیمی محب پلیمر قم,,سهام بارز,عمده,عادی,کیسه,نقدی / اعتباری,ریال,886347
پلی استایرن معمولی MP08,MPG-PSGPMP08L-00,تالار پتروشیمی,محب پلیمر قم,نقدی,"638,720","38,323,200","638,720","638,720","638,720","638,720",190,150,60,تن,1403/08/20,1403/08/23,انبار کارخانه,پتروشیمی محب پلیمر قم,,سهام بارز,عمده,عادی,کیسه,نقدی,ریال,886348
پلی اتیلن ترفتالات بطری MBG780,MPKP-PETMBG780J-00,تالار پتروشیمی,پتروشیمی محب پلی استر خاوران,نقدی,"530,000","23,850,000","530,000","530,000","530,000","530,000",100,45,45,تن,1403/08/20,1403/08/23,انبار کارخانه,پتروشیمی محب پلی استر خاوران,,سهام بارز,عمده,عادی,جامبوبگ,نقدی / اعتباری,ریال,886349
پلی اتیلن ترفتالات بطری MBG820,MPKP-PETMBG820J-00,تالار پتروشیمی,پتروشیمی محب پلی استر خاوران,نقدی,,0,,,,"550,000",50,0,0,تن,1403/08/20,1403/08/23,انبار کارخانه,پتروشیمی محب پلی استر خاوران,,سهام بارز,عمده,عادی,جامبوبگ,نقدی / اعتباری,ریال,886350
اسید ترفتالیک,HUIL-PTACJ-000,تالار پتروشیمی,Huishang Investment Co. Limited - چین,نقدی,,0,,,,"560,000",48,0,0,تن,1403/08/20,1403/08/23,انبار عرضه کننده,پتروشیمی محب پلی استر خاوران,,سهام بارز,عمده,عادی,جامبوبگ,نقدی,ریال,886351
پلی استایرن معمولی 1105,MBIG-PSGPPS1105L-00,تالار پتروشیمی,محب بسپار ایده گستر,نقدی,"641,494","64,149,370","641,494","639,221","643,323","638,126",100,165,100,تن,1403/08/20,1403/08/23,انبار کارخانه,پتروشیمی محب بسپار ایده گستر,,سهام بارز,عمده,عادی,کیسه,نقدی / اعتباری,ریال,886352
پلی استایرن مقاوم 4512,MBIG-PSHIPS4512L-00,تالار پتروشیمی,محب بسپار ایده گستر,نقدی,"681,400","64,733,000","681,400","681,400","681,400","681,400",200,250,95,تن,1403/08/20,1403/08/23,انبار کارخانه,پتروشیمی محب بسپار ایده گستر,,سهام بارز,عمده,عادی,کیسه,نقدی / اعتباری,ریال,886353
پلی استایرن معمولی 1109,MBIG-PSGPPS1109L-00,تالار پتروشیمی,محب بسپار ایده گستر,نقدی,"638,126","31,906,300","638,126","638,126","638,126","638,126",50,65,50,تن,1403/08/20,1403/08/23,انبار کارخانه,پتروشیمی محب بسپار ایده گستر,,سهام بارز,عمده,عادی,کیسه,نقدی / اعتباری,ریال,886354
اوره گرانول,SPC-UREAGRJ-00,تالار پتروشیمی,پتروشیمی شیراز,نقدی (مچینگ),"152,740","1,527,400","152,740","152,740","152,740","152,740",0,10,10,تن,1403/08/20,1403/08/22,انبار کارخانه,پتروشیمی شیراز,,بانک تجارت,عمده,عادی,جامبوبگ,نقدی,ریال,886414
سیمان پرتلند نوع 2 رده 32/5-فله,DCC-PCT2G32.5-B-00,تالار سیمان,سیمان داراب,نقدی,"13,650","13,650,000","13,650","13,650","13,650","13,650","4,500","1,000","1,000",تن,1403/08/20,1403/08/23,انبار کارخانه,سیمان داراب,,بانک پاسارگاد,عمده,عادی,فله,نقدی,ریال,886562
سیمان پرتلند نوع 2 رده 32/5-فله,DCC-PCT2G32.5-B-00,تالار سیمان,سیمان داراب,نقدی (مچینگ),"13,650","4,095,000","13,650","13,650","13,650","13,650",0,300,300,تن,1403/08/20,1403/08/23,انبار کارخانه,سیمان داراب,,بانک پاسارگاد,عمده,عادی,فله,نقدی,ریال,886562
سیمان پرتلند نوع 2 رده 32/5-فله,DCC-PCT2G32.5-B-00,تالار سیمان,سیمان داراب,نقدی (مچینگ),"13,650","1,023,750","13,650","13,650","13,650","13,650",0,75,75,تن,1403/08/21,1403/08/23,انبار کارخانه,سیمان داراب,,بانک پاسارگاد,عمده,عادی,فله,نقدی,ریال,886562
سیمان پرتلند نوع 2 رده 32/5-فله,DCC-PCT2G32.5-B-00,تالار سیمان,سیمان داراب,نقدی (مچینگ),"13,650","341,250","13,650","13,650","13,650","13,650",0,25,25,تن,1403/08/23,1403/08/23,انبار کارخانه,سیمان داراب,,بانک پاسارگاد,عمده,عادی,فله,نقدی,ریال,886562
سیمان پرتلند نوع 2 رده 32/5-فله,DCC-PCT2G32.5-B-00,تالار سیمان,سیمان داراب,نقدی (مچینگ),"13,650","5,118,750","13,650","13,650","13,650","13,650",0,375,375,تن,1403/08/22,1403/08/23,انبار کارخانه,سیمان داراب,,بانک پاسارگاد,عمده,عادی,فله,نقدی,ریال,886562
سیمان پرتلند نوع 2 رده 32/5-کیسه50,DCC-PCT2G32.5-L50-00,تالار سیمان,سیمان داراب,نقدی,"14,390","122,313,375","14,390","14,219","14,709","14,106","8,500","12,800","8,500",تن,1403/08/20,1403/08/23,انبار کارخانه,سیمان داراب,,بانک پاسارگاد,عمده,عادی,کیسه,نقدی,ریال,886566
سیمان پرتلند نوع 2 رده 42/5-فله,KCC-PCT2G42.5-B-00,تالار سیمان,سیمان کردستان,نقدی,"13,338","51,484,680","13,338","13,338","13,338","13,338","4,000","4,090","3,860",تن,1403/08/20,1403/08/23,انبار کارخانه,سیمان کردستان,,آرمون بورس,عمده,عادی,فله,نقدی / اعتباری,ریال,886911
سیمان پرتلند نوع 2 رده 42/5-فله,KCC-PCT2G42.5-B-00,تالار سیمان,سیمان کردستان,نقدی (مچینگ),"13,338","1,867,320","13,338","13,338","13,338","13,338",0,140,140,تن,1403/08/20,1403/08/23,انبار کارخانه,سیمان کردستان,,آرمون بورس,عمده,عادی,فله,نقدی / اعتباری,ریال,886911
سیمان پرتلند نوع 2 رده 42/5-کیسه50,KCC-PCT2G42.5-L50-00,تالار سیمان,سیمان کردستان,نقدی,"14,842","34,136,650","14,842","14,805","14,899","14,781","2,300","2,360","2,300",تن,1403/08/20,1403/08/23,انبار کارخانه,سیمان کردستان,,آرمون بورس,عمده,عادی,کیسه,نقدی / اعتباری,ریال,886912
سیمان پرتلند نوع 2 رده 42/5-فله,SECO-PCT2G42.5-B-00,تالار سیمان,سیمان سپاهان,نقدی,"13,419","93,933,025","13,419","13,302","13,588","12,611","7,000","15,575","7,000",تن,1403/08/20,1403/08/23,انبار کارخانه,سیمان سپاهان,,آرمون بورس,عمده,عادی,فله,نقدی,ریال,886919
سیمان پرتلند نوع 2 رده 42/5-کیسه50,SECO-PCT2G42.5-L50-00,تالار سیمان,سیمان سپاهان,نقدی,"13,740","48,091,350","13,740","13,659","13,819","13,506","3,500","6,050","3,500",تن,1403/08/20,1403/08/23,انبار کارخانه,سیمان سپاهان,,آرمون بورس,عمده,عادی,کیسه,نقدی,ریال,886921
سیمان پرتلند نوع 2 رده 52/5-فله,SECO-PCT2G52.5-B-00,تالار سیمان,سیمان سپاهان,نقدی,"13,391","113,153,950","13,391","13,391","13,391","13,391","9,000","8,450","8,450",تن,1403/08/20,1403/08/23,انبار کارخانه,سیمان سپاهان,,آرمون بورس,عمده,عادی,فله,نقدی,ریال,886923
سیمان پرتلند نوع 2 رده 52/5-فله,SECO-PCT2G52.5-B-00,تالار سیمان,سیمان سپاهان,نقدی (مچینگ),"13,391","7,365,050","13,391","13,391","13,391","13,391",0,550,550,تن,1403/08/20,1403/08/23,انبار کارخانه,سیمان سپاهان,,آرمون بورس,عمده,عادی,فله,نقدی,ریال,886923
سیمان پرتلند نوع 2 رده 52/5-کیسه50,SECO-PCT2G52.5-L50-00,تالار سیمان,سیمان سپاهان,نقدی,"13,611","47,637,950","13,611","13,591","13,689","13,588","3,500","4,200","3,500",تن,1403/08/20,1403/08/23,انبار کارخانه,سیمان سپاهان,,آرمون بورس,عمده,عادی,کیسه,نقدی,ریال,886924
سیمان پرتلند نوع 2 رده 42/5-فله,ECC-PCT2G42.5-B-00,تالار سیمان,سیمان شرق,نقدی,"10,329","82,629,550","10,329","10,209","10,555","8,374","8,000","14,230","8,000",تن,1403/08/20,1403/08/23,انبار کارخانه,سیمان شرق,,آرمون بورس,عمده,عادی,فله,نقدی,ریال,886928
سیمان پرتلند نوع 2 رده 42/5-کیسه50,ECC-PCT2G42.5-L50-00,تالار سیمان,سیمان شرق,نقدی,"14,340","7,169,840","14,340","14,200","14,444","11,172",500,"1,400",500,تن,1403/08/20,1403/08/23,انبار کارخانه,سیمان شرق,,آرمون بورس,عمده,عادی,کیسه,نقدی,ریال,886929
سیمان پرتلند نوع 2 رده 32/5-فله,DACO-PCT2G32.5-B-00,تالار سیمان,سیمان دشتستان,نقدی,"13,226","27,443,950","13,226","13,226","13,226","13,226","6,500","2,075","2,075",تن,1403/08/20,1403/08/23,انبار کارخانه,صنایع سیمان دشتستان,,آرمون بورس,عمده,عادی,فله,نقدی,ریال,886932
سیمان پرتلند نوع 2 رده 32/5-فله,DACO-PCT2G32.5-B-00,تالار سیمان,سیمان دشتستان,نقدی (مچینگ),"13,226","7,935,600","13,226","13,226","13,226","13,226",0,600,600,تن,1403/08/21,1403/08/23,انبار کارخانه,صنایع سیمان دشتستان,,آرمون بورس,عمده,عادی,فله,نقدی,ریال,886932
سیمان پرتلند نوع 2 رده 32/5-فله,DACO-PCT2G32.5-B-00,تالار سیمان,سیمان دشتستان,نقدی (مچینگ),"13,226","2,975,850","13,226","13,226","13,226","13,226",0,225,225,تن,1403/08/22,1403/08/23,انبار کارخانه,صنایع سیمان دشتستان,,آرمون بورس,عمده,عادی,فله,نقدی,ریال,886932
سیمان پرتلند نوع 2 رده 32/5-فله,DACO-PCT2G32.5-B-00,تالار سیمان,سیمان دشتستان,نقدی (مچینگ),"13,226","4,629,100","13,226","13,226","13,226","13,226",0,350,350,تن,1403/08/23,1403/08/23,انبار کارخانه,صنایع سیمان دشتستان,,آرمون بورس,عمده,عادی,فله,نقدی,ریال,886932
سیمان پرتلند نوع 2 رده 32/5-کیسه50,DACO-PCT2G32.5-L50-00,تالار سیمان,سیمان دشتستان,نقدی (مچینگ),"13,632","9,542,400","13,632","13,632","13,632","13,632",0,700,700,تن,1403/08/20,1403/08/23,انبار کارخانه,صنایع سیمان دشتستان,,آرمون بورس,عمده,عادی,کیسه,نقدی,ریال,886933
سیمان پرتلند نوع 2 رده 32/5-کیسه50,DACO-PCT2G32.5-L50-00,تالار سیمان,سیمان دشتستان,نقدی,"13,632","54,187,200","13,632","13,632","13,632","13,632","5,000","3,975","3,975",تن,1403/08/20,1403/08/23,انبار کارخانه,صنایع سیمان دشتستان,,آرمون بورس,عمده,عادی,کیسه,نقدی,ریال,886933
سیمان پرتلند نوع 2 رده 32/5-جامبوبگ,DACO-PCT2G32.5-J-00,تالار سیمان,سیمان دشتستان,سلف,,0,,,,"15,532",500,0,0,تن,1403/08/20,1403/09/19,انبار کارخانه,صنایع سیمان دشتستان,,آرمون بورس,عمده,عادی,جامبوبگ,نقدی,ریال,886934
سیمان پرتلند نوع 2 کم قلیا-فله,DACO-PCT2GLA-B-00,تالار سیمان,سیمان دشتستان,سلف,,0,,,,"15,871",500,0,0,تن,1403/08/20,1403/09/19,انبار کارخانه,صنایع سیمان دشتستان,,آرمون بورس,عمده,عادی,فله,نقدی,ریال,886938
سیمان پرتلند نوع 2 رده 32/5-فله,CMN-PCT2G32.5-B-00,تالار سیمان,سیمان منددشتی,نقدی,"12,962","39,858,150","12,962","12,962","12,962","12,962","6,500","3,275","3,075",تن,1403/08/20,1403/08/23,انبار کارخانه,سیمان مند دشتی,,آرمون بورس,عمده,عادی,فله,نقدی,ریال,886942
سیمان پرتلند نوع 2 رده 32/5-فله,CMN-PCT2G32.5-B-00,تالار سیمان,سیمان منددشتی,نقدی (مچینگ),"12,962","44,394,850","12,962","12,962","12,962","12,962",0,"3,425","3,425",تن,1403/08/20,1403/08/23,انبار کارخانه,سیمان مند دشتی,,آرمون بورس,عمده,عادی,فله,نقدی,ریال,886942
سیمان پرتلند نوع 2 رده 32/5-کیسه50,CMN-PCT2G32.5-L50-00,تالار سیمان,سیمان منددشتی,نقدی (مچینگ),"13,894","22,230,400","13,894","13,894","13,894","13,894",0,"1,600","1,600",تن,1403/08/20,1403/08/23,انبار کارخانه,سیمان مند دشتی,,آرمون بورس,عمده,عادی,کیسه,نقدی,ریال,886944
سیمان پرتلند نوع 2 رده 32/5-کیسه50,CMN-PCT2G32.5-L50-00,تالار سیمان,سیمان منددشتی,نقدی,"13,894","50,018,400","13,894","13,894","13,894","13,894","7,500","3,600","3,600",تن,1403/08/20,1403/08/23,انبار کارخانه,سیمان مند دشتی,,آرمون بورس,عمده,عادی,کیسه,نقدی,ریال,886944
سیمان پرتلند نوع 2 رده 32/5-کیسه50,CMN-PCT2G32.5-L50-00,تالار سیمان,سیمان منددشتی,نقدی (مچینگ),"13,894","31,956,200","13,894","13,894","13,894","13,894",0,"2,300","2,300",تن,1403/08/21,1403/08/23,انبار کارخانه,سیمان مند دشتی,,آرمون بورس,عمده,عادی,کیسه,نقدی,ریال,886944
سیمان پرتلند نوع 2 رده 32/5-جامبوبگ,CMN-PCT2G32.5-J-00,تالار سیمان,سیمان منددشتی,سلف,,0,,,,"15,794",500,0,0,تن,1403/08/20,1403/09/19,انبار کارخانه,سیمان مند دشتی,,آرمون بورس,عمده,عادی,جامبوبگ,نقدی,ریال,886945
سیمان پرتلند نوع 2 کم قلیا-فله,CMN-PCT2GLA-B-00,تالار سیمان,سیمان منددشتی,سلف,,0,,,,"15,554",500,0,0,تن,1403/08/20,1403/09/19,انبار کارخانه,سیمان مند دشتی,,آرمون بورس,عمده,عادی,فله,نقدی,ریال,886946
وکیوم باتوم,ABRO-OAVBB-00,تالار حراج باز,پالایش نفت آبادان,نسیه,"180,410","3,608,200,000","180,410","180,400","180,500","145,600","20,000","52,500","20,000",تن,1403/08/20,1403/08/23,انبار کارخانه,پالایش نفت آبادان,2025/02/08,مفید,عمده,عادی,فله,نقدی / اعتباری,ریال,886958
لوب کات سبک,ABRO-LUBECUTLB-00,تالار فرآورده های نفتی,پالایش نفت آبادان,نسیه,"240,961","722,883,000","240,961","240,961","240,961","240,961","3,000","3,000","3,000",تن,1403/08/20,1403/08/23,انبار کارخانه,پالایش نفت آبادان,2025/02/08,مفید,عمده,عادی,فله,نقدی / اعتباری,ریال,886962
لوب کات سنگین,ABRO-LUBECUTHB-00,تالار فرآورده های نفتی,پالایش نفت آبادان,نسیه,,0,,,,"234,835","3,000",0,0,تن,1403/08/20,1403/08/23,انبار کارخانه,پالایش نفت آبادان,2025/02/08,مفید,عمده,عادی,فله,نقدی / اعتباری,ریال,886971
لوب کات سبک,IORC-LUBECUTLB-00,تالار فرآورده های نفتی,پالایش نفت اصفهان,نقدی,"240,961","722,883,000","240,961","240,961","240,961","240,961","3,000","3,000","3,000",تن,1403/08/21,1403/08/26,انبار کارخانه,پالایش نفت اصفهان,,مفید,عمده,عادی,فله,نقدی / اعتباری,ریال,886986
لوب کات سبک,IORC-LUBECUTLB-00,تالار فرآورده های نفتی,پالایش نفت اصفهان,نقدی,"240,961","7,228,830,000","240,961","240,961","240,961","240,961","30,000","30,000","30,000",تن,1403/08/23,1403/08/28,انبار کارخانه,پالایش نفت اصفهان,,مفید,عمده,عادی,فله,نقدی / اعتباری,ریال,886988
پلی استایرن مقاوم 7240,TABC-PSHIPS7240PP-00,تالار پتروشیمی,پتروشیمی تبریز,نقدی,"685,396","550,372,988","685,396","685,396","685,396","685,396",902,"1,001",803,تن,1403/08/20,1403/08/23,انبار کارخانه,پتروشیمی تبریز,,آرمون بورس,عمده,عادی,پالت پلاستیکی,نقدی / اعتباری,ریال,886993
پلی استایرن معمولی 1540,TABC-PSGPPS1540PP-00,تالار پتروشیمی,پتروشیمی تبریز,سلف,"642,026","614,418,486","642,026","638,725","644,658","638,720",957,"1,617",957,تن,1403/08/20,1403/09/19,انبار کارخانه,پتروشیمی تبریز,,آرمون بورس,عمده,عادی,پالت پلاستیکی,نقدی,ریال,886994
آرگون,ESC-ARGAB-00,تالار پتروشیمی,ذوب آهن اصفهان,نقدی,"260,239","26,023,900","260,239","254,899","262,999","216,000",100,320,100,تن,1403/08/20,1403/08/28,انبار کارخانه,ذوب آهن اصفهان,,صبا تأمین,عمده,عادی,فله,نقدی,ریال,886999
دوده صنعتی گرید N660,ICC-CBN660J-00,تالار پتروشیمی,کربن ایران,سلف,,0,,,,"601,000","3,000",0,0,تن,1403/08/20,1403/09/06,انبار کارخانه,کربن ایران,,صبا تأمین,عمده,عادی,جامبوبگ,نقدی / اعتباری,ریال,887003
دوده صنعتی گرید N339,ICC-CBN339J-00,تالار پتروشیمی,کربن ایران,سلف,,0,,,,"625,000","2,800",0,0,تن,1403/08/20,1403/09/06,انبار کارخانه,کربن ایران,,صبا تأمین,عمده,عادی,جامبوبگ,نقدی / اعتباری,ریال,887004
دوده صنعتی گرید N550,ICC-CBN550J-00,تالار پتروشیمی,کربن ایران,سلف,,0,,,,"606,000","1,000",0,0,تن,1403/08/20,1403/09/06,انبار کارخانه,کربن ایران,,صبا تأمین,عمده,عادی,جامبوبگ,نقدی / اعتباری,ریال,887006
دوده صنعتی گرید N330,ICC-CBN330J-00,تالار پتروشیمی,کربن ایران,سلف,,0,,,,"618,000","3,000",0,0,تن,1403/08/20,1403/09/06,انبار کارخانه,کربن ایران,,صبا تأمین,عمده,عادی,جامبوبگ,نقدی / اعتباری,ریال,887007
دوده صنعتی گرید N375,ICC-CBN375J-00,تالار پتروشیمی,کربن ایران,سلف,,0,,,,"625,000","2,500",0,0,تن,1403/08/20,1403/09/06,انبار کارخانه,کربن ایران,,صبا تأمین,عمده,عادی,جامبوبگ,نقدی / اعتباری,ریال,887008
دوده صنعتی گرید N326,ICC-CBN326J-00,تالار پتروشیمی,کربن ایران,سلف,"616,000","184,800,000","616,000","616,000","616,000","616,000","2,500",300,300,تن,1403/08/20,1403/09/06,انبار کارخانه,کربن ایران,,صبا تأمین,عمده,عادی,جامبوبگ,نقدی / اعتباری,ریال,887009
دوده صنعتی گرید N220,ICC-CBN220J-00,تالار پتروشیمی,کربن ایران,سلف,,0,,,,"710,000","1,500",0,0,تن,1403/08/20,1403/09/06,انبار کارخانه,کربن ایران,,صبا تأمین,عمده,عادی,جامبوبگ,نقدی / اعتباری,ریال,887010
دوده صنعتی گرید N234,ICC-CBN234J-00,تالار پتروشیمی,کربن ایران,سلف,,0,,,,"734,000",500,0,0,تن,1403/08/20,1403/09/06,انبار کارخانه,کربن ایران,,صبا تأمین,عمده,عادی,جامبوبگ,نقدی / اعتباری,ریال,887011
سیمان پرتلند نوع 2 رده 32/5-کیسه50,HCC-PCT2G32.5-L50-00,تالار سیمان,سیمان هرمزگان,نقدی,"16,529","214,877,400","16,529","16,469","16,699","12,892","13,000","21,300","13,000",تن,1403/08/20,1403/08/23,انبار کارخانه,سیمان هرمزگان,,بانک سپه,عمده,عادی,کیسه,نقدی,ریال,887012
سیمان پرتلند نوع 2 رده 32/5-فله,HCC-PCT2G32.5-B-00,تالار سیمان,سیمان هرمزگان,نقدی,"16,834","286,181,750","16,834","16,555","17,099","11,776","17,000","25,700","17,000",تن,1403/08/20,1403/08/23,انبار کارخانه,سیمان هرمزگان,,بانک سپه,عمده,عادی,فله,نقدی,ریال,887013
سیمان پرتلند نوع 2 رده 32/5-فله,CICE-PCT2G32.5-B-00,تالار سیمان,سیمان کیاسر,نقدی,"12,196","50,918,300","12,196","12,196","12,196","12,196","5,000","4,175","4,175",تن,1403/08/20,1403/08/23,انبار کارخانه,صنایع سیمان کیاسر,,بانک سپه,عمده,عادی,فله,نقدی / اعتباری,ریال,887014
